bin_id	bin_lower	bin_upper	mean_predicted	observed_frequency	n_samples	module
1	0.0	0.1	0.052	0.048	1245	Final_gene_probability
2	0.1	0.2	0.148	0.142	987	Final_gene_probability
3	0.2	0.3	0.251	0.247	756	Final_gene_probability
4	0.3	0.4	0.349	0.355	612	Final_gene_probability
5	0.4	0.5	0.452	0.461	534	Final_gene_probability
6	0.5	0.6	0.548	0.539	423	Final_gene_probability
7	0.6	0.7	0.651	0.658	378	Final_gene_probability
8	0.7	0.8	0.749	0.761	312	Final_gene_probability
9	0.8	0.9	0.847	0.856	256	Final_gene_probability
10	0.9	1.0	0.942	0.951	189	Final_gene_probability
1	0.0	0.1	0.048	0.045	1456	Variant_PIP_SuSiE
2	0.1	0.2	0.145	0.138	1123	Variant_PIP_SuSiE
3	0.2	0.3	0.247	0.241	867	Variant_PIP_SuSiE
4	0.3	0.4	0.351	0.359	698	Variant_PIP_SuSiE
5	0.4	0.5	0.449	0.455	589	Variant_PIP_SuSiE
6	0.5	0.6	0.552	0.548	478	Variant_PIP_SuSiE
7	0.6	0.7	0.648	0.651	412	Variant_PIP_SuSiE
8	0.7	0.8	0.751	0.759	356	Variant_PIP_SuSiE
9	0.8	0.9	0.851	0.862	287	Variant_PIP_SuSiE
10	0.9	1.0	0.948	0.958	234	Variant_PIP_SuSiE
1	0.0	0.1	0.055	0.062	567	cCRE_Gene_ABC_PCHiC
2	0.1	0.2	0.152	0.168	489	cCRE_Gene_ABC_PCHiC
3	0.2	0.3	0.248	0.261	423	cCRE_Gene_ABC_PCHiC
4	0.3	0.4	0.352	0.371	378	cCRE_Gene_ABC_PCHiC
5	0.4	0.5	0.451	0.468	312	cCRE_Gene_ABC_PCHiC
6	0.5	0.6	0.549	0.561	267	cCRE_Gene_ABC_PCHiC
7	0.6	0.7	0.652	0.668	234	cCRE_Gene_ABC_PCHiC
8	0.7	0.8	0.748	0.762	189	cCRE_Gene_ABC_PCHiC
9	0.8	0.9	0.849	0.871	156	cCRE_Gene_ABC_PCHiC
10	0.9	1.0	0.945	0.962	123	cCRE_Gene_ABC_PCHiC
1	0.0	0.1	0.051	0.048	789	Gene_Tissue_coloc_susie
2	0.1	0.2	0.149	0.145	654	Gene_Tissue_coloc_susie
3	0.2	0.3	0.252	0.248	543	Gene_Tissue_coloc_susie
4	0.3	0.4	0.348	0.352	456	Gene_Tissue_coloc_susie
5	0.4	0.5	0.452	0.459	389	Gene_Tissue_coloc_susie
6	0.5	0.6	0.551	0.548	312	Gene_Tissue_coloc_susie
7	0.6	0.7	0.649	0.655	267	Gene_Tissue_coloc_susie
8	0.7	0.8	0.752	0.761	223	Gene_Tissue_coloc_susie
9	0.8	0.9	0.848	0.858	178	Gene_Tissue_coloc_susie
10	0.9	1.0	0.946	0.954	145	Gene_Tissue_coloc_susie
