disease	n_predictions	n_true_positives	base_rate	ece	ece_ci_lower	ece_ci_upper	calibration_status
RBC	448	11	0.024553571428571428	0.00047316480707575853	0.00022859262024358223	0.016450016980528254	PASS
Hb	242	7	0.028925619834710745	0.0022028530644341115	0.0017046854644846897	0.025292218077940822	PASS
MCHC	334	9	0.02694610778443114	0.002813419233438456	0.0010118694632166587	0.02307245974564066	PASS
Mono	488	18	0.036885245901639344	0.0044357107372181865	0.0038765107965359038	0.02459532544117706	PASS
CRP	518	17	0.032818532818532815	0.00708200622517053	0.0016138471512740446	0.02184109508788604	PASS
Eosino	759	26	0.034255599472990776	0.00728095188421069	0.002457329983095222	0.02089574644877767	PASS
MCH	529	15	0.02835538752362949	0.007813573279268763	0.003899762634277728	0.02316872772357462	PASS
GGT	804	28	0.03482587064676617	0.009217334070103715	0.0031954677708611744	0.021208087857967805	PASS
Neutro	494	13	0.02631578947368421	0.00923241592383003	0.003460298644691848	0.023510786313602067	PASS
ALP	772	29	0.03756476683937824	0.010942732902143197	0.004961637228869637	0.025489134350689648	PASS
Plt	871	34	0.03903559127439724	0.01140757168423048	0.003753941624311585	0.025670855243760348	PASS
ApoB	183	9	0.04918032786885246	0.01159448847966178	0.003936024820884572	0.04000867528252325	PASS
SHBG	629	22	0.034976152623211444	0.011790626819326421	0.0022766947286041814	0.02734350234322902	PASS
FEV1FVC	199	10	0.05025125628140704	0.012224916940385713	0.004843538450439327	0.04522142214803851	PASS
Alb	333	6	0.018018018018018018	0.012391115137808937	0.0043383668510830215	0.0263177034031561	PASS
TP	781	11	0.014084507042253521	0.013053681853691898	0.005100382041580535	0.021073123039210946	PASS
MCV	375	13	0.034666666666666665	0.013364213757899673	0.002101212617633097	0.03315285597250862	PASS
AST	297	11	0.037037037037037035	0.01401124953478448	0.0006809231167191836	0.03755893168264522	PASS
AG	349	12	0.034383954154727794	0.01584762684536483	0.010857860368788665	0.03406198283587578	PASS
Lym	293	11	0.03754266211604096	0.016827379281081495	0.0075381341898446055	0.03842956047394302	PASS
HbA1c	873	41	0.046964490263459335	0.018112105407048763	0.006279259500812887	0.03259122409607228	PASS
UA	296	13	0.04391891891891892	0.018562312565899724	0.0035305348298997367	0.04230037781769389	PASS
Ca	327	16	0.04892966360856269	0.023909840121785302	0.004686898402891382	0.04776267073945542	PASS
IGF1	326	17	0.05214723926380368	0.025492707979599055	0.005926358069418829	0.05210991677182127	PASS
eGFRcys	245	14	0.05714285714285714	0.03181829421349448	0.005416871042434963	0.06128065464434984	PASS
HDLC	325	20	0.06153846153846154	0.0385588262052102	0.014682865733765475	0.06647804577035278	PASS
TC	156	10	0.0641025641025641	0.03858676187273445	0.00581330337480442	0.0785687842116104	PASS
TG	245	16	0.0653061224489796	0.04205368820977017	0.013346066809226235	0.07458052193410425	PASS
Height	1003	72	0.07178464606181456	0.04414199272186319	0.0301745983009956	0.06054977907027788	PASS
eBMD	293	20	0.06825938566552901	0.04432708658898355	0.016736539662317317	0.07352127061453573	PASS
ApoA	229	18	0.07860262008733625	0.04953635943778204	0.02170146126970221	0.08309902629467088	PASS
