locus_id	gene_symbol	l2g_score	l2g_prediction	cs2g_score	cs2g_prediction	status
FTO_Obesity	IRX3		0		0	Both fail
FTO_OBESITY	IRX3		0		0	Both fail
LDLR_CAD_LDL	LDLR	0.2846784889698028	0	1.0	1	L2G fails, cS2G succeeds
ANGPTL3_LDL_TG	ANGPTL3	0.2639279961585998	0		0	Both fail
GCK_T2D_MODY	GCK	0.4936096668243408	0		0	Both fail
APOC3_TG_CAD	APOC3	0.1008991077542305	0	1.0	1	L2G fails, cS2G succeeds
NOD2_CD	NOD2	0.0537039414048194	0		0	Both fail
BRCA1_BC_OC	BRCA1	0.34577077627182	0	0.914	1	L2G fails, cS2G succeeds
MC4R_OBESITY	MC4R	0.2770278453826904	0		0	Both fail
IRS1_T2D_INSULIN	IRS1	0.0699868947267532	0		0	Both fail
HFE_HEMOCHROMATOSIS	HFE	0.0517543852329254	0	1.0	1	L2G fails, cS2G succeeds
TSHR_HYPOTHYROID	TSHR	0.1619640737771988	0	1.0	1	L2G fails, cS2G succeeds
