chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	measuredGeneEnsemblId	Significant	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize15	PowerAtEffectSize20	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	CellType	Reference	Regulated	Dataset	distanceToTSS	measuredGeneUbiquitousExpressed	elementChromatinCategory	H3K27ac_peak_overlap	H3K27ac.RPM	H3K27ac.percentile	H3K27ac.RPM.expandedRegion	H3K27ac.expandedRegion.percentile	DHS.RPM	DHS.percentile	CTCF_peak_overlap	CTCF.RPM	H3K27me3_peak_overlap	H3K27me3.RPM	H3K4me1_peak_overlap	H3K4me1.RPM	direct_vs_indirect_negative	direct_rate_negative	indirect_rate_negative	imputed_indirect_rate
chr1	3774714	3775214	CEP104|chr1:3691278-3691778:*	-0.293431866	chr1	3857213	3857214	CEP104	ENSG00000116198	True	0.004023984	0.0	0.0	0.0	0.825093632	0.0	True	K562	Nasser et al., 2021 from Ulirsch et al., 2016	True	Nasser2021	82268	True	H3K27ac	1	2.661037	0.870244236973768	5.045357	0.899990648233296	19.289982	0.991762652161037	0	0.216638	0	0.199229	0	1.138762	0.862615473841406	0.0159590607507427	0.0025417211557928	True
chr1	3774714	3775214	LRRC47|chr1:3691278-3691778:*	-0.331178093	chr1	3796503	3796504	LRRC47	ENSG00000130764	True	0.007771168	0.0	0.0	0.0	0.608994236	0.0	True	K562	Nasser et al., 2021 from Ulirsch et al., 2016	True	Nasser2021	21539	True	H3K27ac	1	2.661037	0.870244236973768	5.045357	0.899990648233296	19.289982	0.991762652161037	0	0.216638	0	0.199229	0	1.138762	0.975401573846522	0.100786887753338	0.0025417211557928	True
chr1	3774714	3775214	SMIM1|chr1:3691278-3691778:*	-0.472019217	chr1	3772761	3772762	SMIM1	ENSG00000235169	True	0.000641649	0.0	0.0	0.0	0.639332272	0.0	True	K562	Nasser et al., 2021 from Ulirsch et al., 2016	True	Nasser2021	2177	False	H3K27ac	1	2.661037	0.870244236973768	5.045357	0.899990648233296	19.289982	0.991762652161037	0	0.216638	0	0.199229	0	1.138762	0.997464722811872	1.0	0.0025417211557928	True
chr1	8858063	8858563	ENO1|chr1:8918122-8918622:.	-0.107409455981821	chr1	8879248	8879249	ENO1	ENSG00000074800	True	0.0043960800464262	0.25	0.45	0.8	0.85	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	20778	True	H3K27ac	1	1.747064	0.818786140681744	2.463242	0.821311117691984	4.388195	0.896249941551458	0	0.108319	0	0.242357	1	2.08429	0.996736865702615	0.105897995648782	0.0003466906798739	False
chr1	17441310	17441810	SDHB|chr1:17767806-17768306:.	-0.0896782058856451	chr1	17054169	17054170	SDHB	ENSG00000117118	True	0.0121193812087617	0.5	0.85	0.9	0.95	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	387389	True	High H3K27ac	1	4.338981	0.916512102744744	6.211779	0.917439486276282	1.617235	0.695109026013498	1	1.516465	0	0.318594	1	2.855252	0.845337212341688	0.0018949001069147	0.0003466906798739	False
chr1	25933351	25933954	NUDC|chr1:26259842-26260445:.	-0.0846214098812692	chr1	26900238	26900239	NUDC	ENSG00000090273	True	0.0279941931333628	0.55	1.0	1.0	1.0	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	988068	True	High H3K27ac	1	9.738997	0.969396343459218	19.014264	0.982574541373775	14.140866	0.983104474820368	0	1.08319	0	0.242045	1	4.013062	0.601284815822156	0.0005228289512602	0.0003466906798739	False
chr1	25933351	25933954	STMN1|chr1:26259842-26260445:.	-0.122234975903461	chr1	25906990	25906991	STMN1	ENSG00000117632	True	4.58113022712261e-06	0.5	0.85	1.0	1.0	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	27149	False	High H3K27ac	1	9.738997	0.969396343459218	19.014264	0.982574541373775	14.140866	0.983104474820368	0	1.08319	0	0.242045	1	4.013062	0.995293050110982	0.0733083700384892	0.0003466906798739	False
chr1	26377523	26378866	LIN28A|chr1:26704014-26705357:.	-0.0517160214575402	chr1	26410778	26410779	LIN28A	ENSG00000131914	True	0.009664204848783	0.1	0.4	0.6	0.9	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	32572	False	High H3K27ac	1	43.68836	0.998971305662495	45.946946	0.998043922130956	35.621154	0.998846615439767	0	1.841422	0	0.732493	1	7.454733	0.993961533422642	0.057067004574127	0.0003466906798739	False
chr1	28883765	28884265	EPB41|chr1:29210277-29210777:.	-0.265214197716918	chr1	28887091	28887092	EPB41	ENSG00000159023	True	1.25439589725502e-58	0.6	0.85	1.0	1.0	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	3074	False	High H3K27ac	1	21.766965	0.993313486806216	39.431715	0.996913916987484	39.336181	0.999251858663633	1	9.640388	0	0.118741	1	1.794719	0.999653429472898	1.0	0.0003466906798739	False
chr1	28884388	28885427	EPB41|chr1:29210900-29211939:.	-0.199432411592418	chr1	28887091	28887092	EPB41	ENSG00000159023	True	1.25640259840756e-37	0.45	0.75	0.9	1.0	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	2182	False	High H3K27ac	1	70.179824	0.999758412693465	73.95655	0.999594756776134	31.675656	0.998238750603968	1	2.599655	0	0.544067	1	7.117344	0.999653429472898	1.0	0.0003466906798739	False
chr1	67682485	67683200	GADD45A|chr1:68148168-68148883:.	-0.0804271540076778	chr1	67685061	67685062	GADD45A	ENSG00000116717	True	0.0218865199813942	0.65	0.9	0.95	1.0	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	2333	False	High H3K27ac	1	7.432618	0.954955657039542	10.134586	0.952804750697486	2.598171	0.809816237784255	0	0.758233	0	0.31485	1	3.274955	0.999653429472898	1.0	0.0003466906798739	False
chr1	70674818	70676268	PTGER3|chr1:71140501-71141951:.	-0.0720910865246828	chr1	71047807	71047808	PTGER3	ENSG00000050628	True	7.05747936153275e-09	0.25	0.5	0.65	0.8	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	372264	False	High H3K27ac	1	15.448819	0.985925591109587	17.349806	0.979223491637962	23.652291	0.995300737230942	0	2.166379	0	0.625568	1	6.596285	0.852363362837685	0.0020015792789762	0.0003466906798739	False
chr1	95084201	95084944	TMEM56|chr1:95549757-95550500:.	-0.121579208908826	chr1	95117338	95117339	TMEM56	ENSG00000152078	True	0.0133980729551526	0.25	0.25	0.4	0.6	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	32764	False	High H3K27ac	1	18.007409	0.989814367430914	24.584392	0.989946850792562	5.526023	0.9230739257158	1	11.590129	0	0.518135	1	5.676829	0.993912826634063	0.0566076063365339	0.0003466906798739	False
chr1	95085335	95085835	TMEM56|chr1:95550891-95551391:.	-0.232876715711768	chr1	95117338	95117339	TMEM56	ENSG00000152078	True	1.5858967164011399e-43	0.3	0.5	0.8	0.8	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	31751	False	High H3K27ac	1	14.914752	0.984951448744525	20.89541	0.985613865552767	7.117109	0.945814305085803	0	0.108319	0	0.212916	1	1.537953	0.994168640100598	0.059106110357062	0.0003466906798739	False
chr1	95086848	95087635	TMEM56|chr1:95552404-95553191:.	-0.0941626684501351	chr1	95117338	95117339	TMEM56	ENSG00000152078	True	4.74109566032071e-05	0.25	0.45	0.6	0.8	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	30095	False	High H3K27ac	1	9.27209	0.967011642949547	11.25592	0.95885222649979	3.263024	0.852062843872255	0	0.541595	0	0.161987	1	4.094061	0.994580521957429	0.0636245399719751	0.0003466906798739	False
chr1	95115581	95116081	TMEM56|chr1:95581137-95581637:.	-0.126414244115867	chr1	95117338	95117339	TMEM56	ENSG00000152078	True	2.9986644501389e-09	0.35	0.45	0.7	0.9	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	1505	False	High H3K27ac	1	4.012511	0.90968531305039	5.796586	0.91173490858648	7.118833	0.945845477641484	0	0.974871	0	0.16924	1	2.591052	0.999653429472898	1.0	0.0003466906798739	False
chr1	108533276	108534274	FAM102B|chr1:109075898-109076896:.	-0.0392917947922745	chr1	108560089	108560090	FAM102B	ENSG00000162636	True	0.0001760847454379	0.25	0.3	0.5	0.4	1.0	True	K562	Gasperini et al., 2019	True	Gasperini2019	26572	False	High H3K27ac	1	4.805651	0.924562415249614	6.198056	0.917307002914634	16.141281	0.987156907059025	1	2.816293	0	0.540011	1	3.428239	0.995429447902662	0.0755064387650024	0.0003466906798739	False
