study_id	trait	study_locus_id	region	chromosome	position	gene_id	gene_symbol	l2g_score
GCST006612	LDL cholesterol	da1688777c358339b96aa01971132a4a		6	16126703	ENSG00000007944	MYLIP	0.8574616312980652
GCST006612	LDL cholesterol	09967e22b25504b5c47bc71727d1f975		19	58170494	ENSG00000181894	ZNF329	0.07789275795221329
GCST006612	LDL cholesterol	09967e22b25504b5c47bc71727d1f975		19	58170494	ENSG00000171606	ZNF274	0.05486781895160675
GCST006612	LDL cholesterol	2492d93c78e6beee4a6246922b95f665		14	94380925	ENSG00000197249	SERPINA1	0.9606223702430725
GCST006612	LDL cholesterol	50c9dce1b38a8b78d7f1d9022ada4f81		5	75269374	ENSG00000145700	ANKRD31	0.7299524545669556
GCST006612	LDL cholesterol	50c9dce1b38a8b78d7f1d9022ada4f81		5	75269374	ENSG00000113161	HMGCR	0.07948312163352966
GCST006612	LDL cholesterol	1d824554bdddeb235040fcd4d8cea9b4		2	43847292	ENSG00000143921	ABCG8	0.8746803402900696
GCST006612	LDL cholesterol	1d824554bdddeb235040fcd4d8cea9b4		2	43847292	ENSG00000138075	ABCG5	0.21382896602153778
GCST006612	LDL cholesterol	41bf4942076dcb70588eca493a14b350		19	44816374	ENSG00000187244	BCAM	0.236977681517601
GCST006612	LDL cholesterol	e4d876f5698b0439cdcec677d9e44c47		12	50661925	ENSG00000066084	DIP2B	0.6058576703071594
GCST006612	LDL cholesterol	e4d876f5698b0439cdcec677d9e44c47		12	50661925	ENSG00000123268	ATF1	0.3877364993095398
GCST006612	LDL cholesterol	9d0e855c0115acf59afaaae8c25a1adc		8	143957800	ENSG00000261150	EPPK1	0.6279891133308411
GCST006612	LDL cholesterol	9d0e855c0115acf59afaaae8c25a1adc		8	143957800	ENSG00000178209	PLEC	0.3351902365684509
GCST006612	LDL cholesterol	9d0e855c0115acf59afaaae8c25a1adc		8	143957800	ENSG00000178719	GRINA	0.14925095438957214
GCST006612	LDL cholesterol	9d0e855c0115acf59afaaae8c25a1adc		8	143957800	ENSG00000178685	PARP10	0.07631215453147888
GCST006612	LDL cholesterol	1dc5955035ffdef305c7dd48d89e5afa		16	68020885	ENSG00000167261	DPEP2	0.559647798538208
GCST006612	LDL cholesterol	1dc5955035ffdef305c7dd48d89e5afa		16	68020885	ENSG00000167264	DUS2	0.3283935487270355
GCST006612	LDL cholesterol	1dc5955035ffdef305c7dd48d89e5afa		16	68020885	ENSG00000263201	DPEP2NB	0.259336918592453
GCST006612	LDL cholesterol	1dc5955035ffdef305c7dd48d89e5afa		16	68020885	ENSG00000182810	DDX28	0.1368526667356491
GCST006612	LDL cholesterol	1cfcae6c4d5f4d4ce32b9a1c7dfe881d		2	21076995	ENSG00000084674	APOB	0.8400639295578003
GCST006612	LDL cholesterol	1cfcae6c4d5f4d4ce32b9a1c7dfe881d		2	21076995	ENSG00000218819	TDRD15	0.19298787415027618
GCST006612	LDL cholesterol	f0b5f794aaf83d710b44a1813a51fb6d		2	120548864	ENSG00000163083	INHBB	0.8306087851524353
GCST006612	LDL cholesterol	f0b5f794aaf83d710b44a1813a51fb6d		2	120548864	ENSG00000074047	GLI2	0.5071225762367249
GCST006612	LDL cholesterol	f0b5f794aaf83d710b44a1813a51fb6d		2	120548864	ENSG00000144118	RALB	0.05431704595685005
GCST006612	LDL cholesterol	58d679c5cd1f5a5352ef8c5ec4de5612		16	72054562	ENSG00000257017	HP	0.8269191980361938
GCST006612	LDL cholesterol	58d679c5cd1f5a5352ef8c5ec4de5612		16	72054562	ENSG00000261701	HPR	0.0660177543759346
GCST006612	LDL cholesterol	745d8b4db63bfc55a5f6324c805f05a6		1	55039974	ENSG00000169174	PCSK9	0.9535644054412842
GCST006612	LDL cholesterol	d1e102e74751cf1eb9e7b5f5294b7d9c		13	110372771	ENSG00000134871	COL4A2	0.7512005567550659
GCST006612	LDL cholesterol	d1e102e74751cf1eb9e7b5f5294b7d9c		13	110372771	ENSG00000187498	COL4A1	0.150588721036911
GCST006612	LDL cholesterol	47b56bde48d464dbe70fa8594958d133		10	122934071	ENSG00000119965	C10orf88	0.5068268179893494
GCST006612	LDL cholesterol	47b56bde48d464dbe70fa8594958d133		10	122934071	ENSG00000213185	FAM24B	0.28809764981269836
GCST006612	LDL cholesterol	47b56bde48d464dbe70fa8594958d133		10	122934071	ENSG00000203795	FAM24A	0.09030492603778839
GCST006612	LDL cholesterol	ced27304e9aa92105ce83871f3703f22		7	21572352	ENSG00000105877	DNAH11	0.9017373919487
GCST006612	LDL cholesterol	600b48fd82df7962a022abbe02310bb0		6	116072564	ENSG00000111816	FRK	0.7292616963386536
GCST006612	LDL cholesterol	600b48fd82df7962a022abbe02310bb0		6	116072564	ENSG00000178425	NT5DC1	0.1004120260477066
GCST006612	LDL cholesterol	600b48fd82df7962a022abbe02310bb0		6	116072564	ENSG00000123500	COL10A1	0.08658919483423233
GCST006612	LDL cholesterol	6240c328011cb5c862195d5800b97f50		2	118092274	ENSG00000125629	INSIG2	0.6236336827278137
GCST006612	LDL cholesterol	6240c328011cb5c862195d5800b97f50		2	118092274	ENSG00000125633	CCDC93	0.1813131421804428
GCST006612	LDL cholesterol	6240c328011cb5c862195d5800b97f50		2	118092274	ENSG00000088205	DDX18	0.054202236235141754
GCST006612	LDL cholesterol	62d6bce8e4335f028fe8b4b3b67be031		7	25952206	ENSG00000050344	NFE2L3	0.5309517979621887
GCST006612	LDL cholesterol	62d6bce8e4335f028fe8b4b3b67be031		7	25952206	ENSG00000122565	CBX3	0.08950866013765335
