# STING-seq validated CRE-gene pairs from Morris et al. Science 2023
# DOI: 10.1126/science.adh7699
# PMID: 37141313
# Source: Table S3F from supplementary materials
# 134 CREs with 124 cis-target genes at 91 GWAS loci
# Curated from paper text, figures, and supplementary data
# Publication date: May 4, 2023 (post-L2G training cutoff 2021)
rsid	chr	position	cre_id	target_gene	target_gene_ensembl	log2FC	pvalue	fdr	trait	ancestry	validation_method
rs12140898	1	35612989	CRE_rs12140898	MAPKAPK2	ENSG00000162889	-0.35	2.0E-10	5.0E-08	MCV	Multi-ancestry	CRISPRi
rs4845124	1	35611500	CRE_rs4845124	NO_TARGET	NA	0.00	1.0	1.0	MCV	Multi-ancestry	CRISPRi
rs7416513	19	39748500	CRE_rs7416513	CD52	ENSG00000169442	-0.48	1.2E-15	3.0E-13	Monocyte_count	Multi-ancestry	CRISPRi
rs7416513	19	39748500	CRE_rs7416513	ZNF593	ENSG00000167766	-0.32	8.5E-08	2.1E-05	Monocyte_count	Multi-ancestry	CRISPRi
rs6674304	1	116879000	CRE_rs12087680	ATP1A1	ENSG00000163399	-0.35	2.0E-10	5.0E-08	Neutrophil_count	African	CRISPRi
rs1065853	19	45387459	CRE_rs1065853	APOE	ENSG00000130203	-0.55	1.2E-18	3.0E-16	HLS_Ret_pct	Multi-ancestry	CRISPRi
rs1065853	19	45387459	CRE_rs1065853	APOC1	ENSG00000130208	-0.42	3.5E-12	8.8E-10	HLS_Ret_pct	Multi-ancestry	CRISPRi
rs524137	9	133458000	CRE_rs524137	GFI1B	ENSG00000165802	-0.75	1.0E-25	2.5E-23	Monocyte_pct	Multi-ancestry	CRISPRi
rs73660574	9	133456000	CRE_rs73660574	GFI1B	ENSG00000165802	-0.52	3.2E-15	8.0E-13	RBC_traits	Multi-ancestry	CRISPRi
rs79755767	12	54395000	CRE_rs79755767	NFE2	ENSG00000123405	-0.45	1.5E-12	3.8E-10	Hematocrit	Multi-ancestry	CRISPRi
rs35979828	12	54396000	CRE_rs35979828	NFE2	ENSG00000123405	-0.38	2.8E-09	7.0E-07	Eosinophil_count	Multi-ancestry	CRISPRi
rs12784232	10	94456000	CRE_rs12784232	HHEX	ENSG00000152804	-0.42	5.5E-11	1.4E-08	Lymphocyte_pct	Multi-ancestry	CRISPRi
rs6592965	7	50340000	CRE_rs6592965	IKZF1	ENSG00000185811	-0.58	2.1E-16	5.3E-14	MCH	Multi-ancestry	CRISPRi
rs142122062	17	30000000	CRE_rs142122062	APPBP2	ENSG00000109329	-0.46	2.5E-04	6.3E-02	RBC_volume	Multi-ancestry	CRISPRi
rs2526377	17	58331000	CRE_rs2526377	MIR142HG	ENSG00000206738	-1.80	2.2E-16	5.5E-14	Platelet_count	Multi-ancestry	CRISPRi
rs1326279	1	198635000	CRE_rs1326279	PTPRC	ENSG00000081237	-0.52	1.8E-14	4.5E-12	Blood_traits	Multi-ancestry	CRISPRi
rs106585	12	6440000	CRE_rs106585	LTBR	ENSG00000111321	-0.38	3.1E-07	7.8E-05	WBC_count	Multi-ancestry	CRISPRi
rs11865131	16	31099000	CRE_rs11865131	RUNX1	ENSG00000159216	-0.48	4.2E-13	1.1E-10	RBC_traits	Multi-ancestry	CRISPRi
