locus_id	chr	locus_pos	gene_ensembl	gene_symbol	gene_tss	distance	label	evidence_type	score_nearest	score_100kb	score_cs2g
crispr_10_117411392_117412093	10	117411742	ENSG00000165650	PDZD8	117375467	36275	1	CRISPRi	0.5315234885684915	1.0	1.0
crispr_10_117411392_117412093	10	117411742	ENSG00000170370	EMX2	117542444	130702	0	CRISPRi	0.1475218324851809	0.0	1.0
crispr_10_117411392_117412093	10	117411742	ENSG00000165646	SLC18A2	117241072	170670	0	CRISPRi	0.1129749405072367	0.0	1.0
crispr_10_117411392_117412093	10	117411742	ENSG00000186795	KCNK18	117197488	214254	0	CRISPRi	0.0899934473935758	0.0	1.0
crispr_10_117411392_117412093	10	117411742	ENSG00000148704	VAX1	117138301	273441	0	CRISPRi	0.0705142080269695	0.0	1.0
crispr_10_117411392_117412093	10	117411742	ENSG00000187164	SHTN1	117005577	406165	0	CRISPRi	0.0474720830185456	0.0	
crispr_10_12265775_12266275	10	12266025	ENSG00000165609	NUDT5	12196144	69881	0	CRISPRi	0.2396916555462797	1.0	1.0
crispr_10_12265775_12266275	10	12266025	ENSG00000151465	CDC123	12195961	70064	0	CRISPRi	0.2390656143992738	1.0	1.0
crispr_10_12265775_12266275	10	12266025	ENSG00000183049	CAMK1D	12349542	83517	0	CRISPRi	0.2005571526244058	1.0	1.0
crispr_10_12265775_12266275	10	12266025	ENSG00000065665	SEC61A2	12129640	136385	1	CRISPRi	0.1228141618119537	0.0	1.0
crispr_10_12265775_12266275	10	12266025	ENSG00000181192	DHTKD1	12068916	197109	0	CRISPRi	0.0849786021657202	0.0	1.0
crispr_10_12265775_12266275	10	12266025	ENSG00000151461	UPF2	12042841	223184	0	CRISPRi	0.0750504392001484	0.0	1.0
crispr_10_12265775_12266275	10	12266025	ENSG00000148426	PROSER2	11823397	442628	0	CRISPRi	0.0378423742522182	0.0	1.0
crispr_10_125816658_125816735	10	125816696	ENSG00000188690	UROS	125823268	6572	1	CRISPRi	0.4127451871003839	1.0	1.0
crispr_10_125816658_125816735	10	125816696	ENSG00000107949	BCCIP	125823534	6838	0	CRISPRi	0.396691638369765	1.0	1.0
crispr_10_125816658_125816735	10	125816696	ENSG00000154485	MMP21	125775821	40875	0	CRISPRi	0.0663708316569826	1.0	1.0
crispr_10_125816658_125816735	10	125816696	ENSG00000089876	DHX32	125881315	64619	0	CRISPRi	0.0419835053359768	1.0	1.0
crispr_10_125816658_125816735	10	125816696	ENSG00000203780	FANK1	125896538	79842	0	CRISPRi	0.0339788599477828	1.0	1.0
crispr_10_125816658_125816735	10	125816696	ENSG00000107938	EDRF1	125719514	97182	0	CRISPRi	0.0279161387774695	1.0	1.0
crispr_10_125816658_125816735	10	125816696	ENSG00000175018	TEX36	125683144	133552	0	CRISPRi	0.020313838811639	0.0	1.0
crispr_10_17029282_17030231	10	17029756	ENSG00000107611	CUBN	17129817	100061	0	CRISPRi	0.3582004430501814	0.0	1.0
