locus_id	chr	pos_hg38	lead_snp	ensembl_id	gene_symbol	trait	evidence_class	mechanism_class	confidence	source	pubmed_id
ENSG00000126821_sphingomyelin_14∶0_m_7157785	14	63768838	rs7157785	ENSG00000126821	ENSG00000126821	sphingomyelin 14∶0 molar percentage	expert curated	CODING	High	OpenTargets_2024	19798445.0
ENSG00000185499_Magneseium_4072037	1	155192276	rs4072037	ENSG00000185499	ENSG00000185499	Magneseium	expert curated	CODING	High	OpenTargets_2024	20700443.0
ENSG00000117525_D_dimer_measurement_12029080	1	94587797	rs12029080	ENSG00000117525	ENSG00000117525	D dimer measurement	expert curated	CODING	High	OpenTargets_2024	21502573.0
ENSG00000198734_D_dimer_measurement_6687813	1	169508336	rs6687813	ENSG00000198734	ENSG00000198734	D dimer measurement	expert curated	CODING	High	OpenTargets_2024	21502573.0
ENSG00000186115_Alpha-Tocopherol_2108622	19	15879621	rs2108622	ENSG00000186115	ENSG00000186115	Alpha-Tocopherol	expert curated	CODING	High	OpenTargets_2024	21729881.0
ENSG00000197977_Docosapentaenoic_aci_3734398	6	10982740	rs3734398	ENSG00000197977	ENSG00000197977	Docosapentaenoic acid	expert curated	CODING	High	OpenTargets_2024	21829377.0
ENSG00000106546_Caffeine___Quinic_ac_12670403	7	17269655	rs12670403	ENSG00000106546	ENSG00000106546	Caffeine / Quinic acid	expert curated|expert curated	CODING	High	OpenTargets_2024	21886157.0
ENSG00000135318_Inosine_494562	6	85407411	rs494562	ENSG00000135318	ENSG00000135318	Inosine	expert curated	CODING	High	OpenTargets_2024	21886157.0
ENSG00000115902_L-Alanine___L-Valine_2160387	2	64993776	rs2160387	ENSG00000115902	ENSG00000115902	L-Alanine / L-Valine	expert curated	CODING	High	OpenTargets_2024	22286219.0
ENSG00000198650_L-Phenylalanine___L-_4788815	16	71600908	rs4788815	ENSG00000198650	ENSG00000198650	L-Phenylalanine / L-Tyrosine	expert curated	CODING	High	OpenTargets_2024	22286219.0
ENSG00000110090_Linoleic_acid_2229738	11	68794860	rs2229738	ENSG00000110090	ENSG00000110090	Linoleic acid	expert curated	CODING	High	OpenTargets_2024	22286219.0
ENSG00000204310_similar_to_Phosphati_1061808	6	32168770	rs1061808	ENSG00000204310	ENSG00000204310	similar to Phosphatidylcholine(18:0/14:0)|Phosphatidylcholine(16:1/18:0)	expert curated	CODING	High	OpenTargets_2024	22359512.0
ENSG00000214435_Dimethylarsinate_9527	10	102863821	rs9527	ENSG00000214435	ENSG00000214435	Dimethylarsinate	expert curated	CODING	High	OpenTargets_2024	22383894.0
ENSG00000197891_Urea_504915	11	64696613	rs504915	ENSG00000197891	ENSG00000197891	Urea	expert curated|expert curated	CODING	High	OpenTargets_2024	22797727.0
ENSG00000132874_Urea_7227483	18	45607165	rs7227483	ENSG00000132874	ENSG00000132874	Urea	expert curated	CODING	High	OpenTargets_2024	22797727.0
ENSG00000123684_Stearic_acid_11119805	1	211744902	rs11119805	ENSG00000123684	ENSG00000123684	Stearic acid	expert curated	CODING	High	OpenTargets_2024	23362303.0
ENSG00000143416_Copper_2769264	1	151372265	rs2769264	ENSG00000143416	ENSG00000143416	Copper	expert curated	CODING	High	OpenTargets_2024	23720494.0
ENSG00000132837_Dimethlyglycine_248386	5	79034404	rs248386	ENSG00000132837	ENSG00000132837	Dimethlyglycine	expert curated	CODING	High	OpenTargets_2024	23823483.0
ENSG00000038002_L-Asparagine_4690522	4	177439897	rs4690522	ENSG00000038002	ENSG00000038002	L-Asparagine	expert curated	CODING	High	OpenTargets_2024	23823483.0
ENSG00000114491_Orotic_acid_9844948	3	124732217	rs9844948	ENSG00000114491	ENSG00000114491	Orotic acid	expert curated	CODING	High	OpenTargets_2024	23823483.0
ENSG00000171766_Homo-L-arginine_1153858	15	45360505	rs1153858	ENSG00000171766	ENSG00000171766	Homo-L-arginine	expert curated	CODING	High	OpenTargets_2024	24047826.0
ENSG00000153904_Asymmetric_dimethyla_28489187	1	85331427	rs28489187	ENSG00000153904	ENSG00000153904	Asymmetric dimethylarginine	expert curated	CODING	High	OpenTargets_2024	24159190.0
ENSG00000165841_Desmethylcitalopram__1074145	10	94922089	rs1074145	ENSG00000165841	ENSG00000165841	Desmethylcitalopram / Citalopram	expert curated	CODING	High	OpenTargets_2024	24528284.0
ENSG00000100197_Didemethylcitalopram_1065852	22	42130692	rs1065852	ENSG00000100197	ENSG00000100197	Didemethylcitalopram	expert curated	CODING	High	OpenTargets_2024	24528284.0
ENSG00000176920_L-Fucose_2287921	19	48725015	rs2287921	ENSG00000176920	ENSG00000176920	L-Fucose	expert curated	CODING	High	OpenTargets_2024	24586186.0
ENSG00000021488_L-Lysine_8101881	19	32873722	rs8101881	ENSG00000021488	ENSG00000021488	L-Lysine	expert curated	CODING	High	OpenTargets_2024	24586186.0
ENSG00000132744_N-Acetyl-L-phenylala_12288023	11	67653870	rs12288023	ENSG00000132744	ENSG00000132744	N-Acetyl-L-phenylalanine	expert curated	CODING	High	OpenTargets_2024	24625756.0
ENSG00000118094_Trehalose_507080	11	118678873	rs507080	ENSG00000118094	ENSG00000118094	Trehalose	expert curated	CODING	High	OpenTargets_2024	24625756.0
ENSG00000147576_(S)-3,4-Dihydroxybut_1030420	8	66448490	rs1030420	ENSG00000147576	ENSG00000147576	(S)-3,4-Dihydroxybutyric acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000131187___Bradykinin_2731672	5	177415473	rs2731672	ENSG00000131187	ENSG00000131187	/ Bradykinin	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000156006_1-methylxanthine_4921914	8	18414928	rs4921914	ENSG00000156006	ENSG00000156006	1-methylxanthine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000108839_12-HETE_2271316	17	7012082	rs2271316	ENSG00000108839	ENSG00000108839	12-HETE	expert curated|expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000133027_2-Arachidonoylglycer_748196	17	17519454	rs748196	ENSG00000133027	ENSG00000133027	2-Arachidonoylglycerophosphocholine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000116882_2-Hydroxy-3-methylbu_12141041	1	119410153	rs12141041	ENSG00000116882	ENSG00000116882	2-Hydroxy-3-methylbutyric acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000134333_2-Hydroxy-3-methylbu_2403254	11	18303599	rs2403254	ENSG00000134333	ENSG00000134333	2-Hydroxy-3-methylbutyric acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000131203_5-Hydroxy-L-tryptoph_2160860	8	39965626	rs2160860	ENSG00000131203	ENSG00000131203	5-Hydroxy-L-tryptophan	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000145626_5alpha-pregnan-3beta_10491431	5	35967898	rs10491431	ENSG00000145626	ENSG00000145626	5alpha-pregnan-3beta,20alpha-diol disulfate	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000198721_9-Decenoylcarnitine_9392556	6	4145964	rs9392556	ENSG00000198721	ENSG00000198721	9-Decenoylcarnitine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000144644_Acetylcarnosine_6804368	3	30712081	rs6804368	ENSG00000144644	ENSG00000144644	Acetylcarnosine	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000198610_Androsterone_sulfate_17134585	10	5214309	rs17134585	ENSG00000198610	ENSG00000198610	Androsterone sulfate / Epiandrosterone Sulfate	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000149485_Arachidonate___8,11,_174548	11	61803876	rs174548	ENSG00000149485	ENSG00000149485	Arachidonate / 8,11,14-Eicosatrienoic acid	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000125505_Arachidonate|1-Arach_2576452	19	54172738	rs2576452	ENSG00000125505	ENSG00000125505	Arachidonate|1-Arachidonoylglycerophosphoinositol	expert curated	CODING	High	OpenTargets_2024	24816252.0
ENSG00000159640_Aspartylphenylalanin_4343	17	63488670	rs4343	ENSG00000159640	ENSG00000159640	Aspartylphenylalanine / 	expert curated	CODING	High	OpenTargets_2024	24816252.0
